Match Date,Kick Off Time,Home Team,HGoals,Away Team,AGoals
2009-03-07,20:00:00.000,Barcelona,2,Athletic Bilbao,0
2008-10-04,22:00:00.000,Barcelona,6,Atlético Madrid,1
2008-09-24,20:00:00.000,Barcelona,3,Real Betis,2
2009-05-10,19:03:00.000,Barcelona,3,Villarreal,3
2009-02-08,19:00:00.000,Barcelona,3,Sporting Gijón,1
2009-02-01,17:00:00.000,Racing Santander,1,Barcelona,2
2008-09-27,22:00:00.000,Espanyol,1,Barcelona,2
2008-10-25,22:00:00.000,Barcelona,5,Almería,0
2009-04-18,20:00:00.000,Getafe,0,Barcelona,1
2009-04-11,20:00:00.000,Barcelona,2,Recreativo Huelva,0
2009-01-11,21:00:00.000,Osasuna,2,Barcelona,3
2009-05-02,20:00:00.000,Real Madrid,2,Barcelona,6
2009-04-25,22:00:00.000,Valencia,2,Barcelona,2
2008-11-08,22:00:00.000,Barcelona,6,Real Valladolid,0
2009-04-04,20:00:00.000,Real Valladolid,0,Barcelona,1
2008-11-16,21:00:00.000,Recreativo Huelva,0,Barcelona,2
