Match Date,Kick Off Time,Home Team,HGoals,Away Team,AGoals
2009-10-17,22:00:00.000,Valencia,0,Barcelona,0
2010-04-10,22:00:00.000,Real Madrid,0,Barcelona,2
2009-10-31,20:00:00.000,Osasuna,1,Barcelona,1
2009-11-21,22:00:00.000,Athletic Bilbao,1,Barcelona,1
2009-09-19,22:00:00.000,Barcelona,5,Atlético Madrid,2
2010-03-27,20:00:00.000,Mallorca,0,Barcelona,1
2010-10-03,19:00:00.000,Barcelona,1,Mallorca,1
2011-05-08,19:00:00.000,Barcelona,2,Espanyol,0
2011-04-30,20:00:00.000,Real Sociedad,2,Barcelona,1
2011-02-12,20:00:00.000,Sporting Gijón,1,Barcelona,1
2010-10-16,20:00:00.000,Barcelona,2,Valencia,1
2010-10-23,18:00:00.000,Real Zaragoza,0,Barcelona,2
2011-05-11,20:00:00.000,Levante,1,Barcelona,1
2010-09-19,19:00:00.000,Atlético Madrid,1,Barcelona,2
2010-11-07,19:00:00.000,Getafe,1,Barcelona,3
2011-04-23,20:00:00.000,Barcelona,2,Osasuna,0
2011-01-16,21:00:00.000,Barcelona,4,Málaga,1
2011-02-05,22:00:00.000,Barcelona,3,Atlético Madrid,0
2011-01-08,22:00:00.000,Deportivo La Coruna,0,Barcelona,4
2010-12-18,20:00:00.000,Espanyol,1,Barcelona,5
2011-02-26,20:00:00.000,Mallorca,0,Barcelona,3
2011-02-20,21:00:00.000,Barcelona,2,Athletic Bilbao,1
2011-03-02,22:00:00.000,Valencia,0,Barcelona,1
2010-09-11,18:00:00.000,Barcelona,0,Hércules,2
2010-08-29,19:00:00.000,Racing Santander,0,Barcelona,3
2010-10-30,22:00:00.000,Barcelona,5,Sevilla,0
2011-03-13,21:00:00.000,Sevilla,1,Barcelona,1
2011-01-29,20:00:00.000,Hércules,0,Barcelona,3
2011-01-22,20:00:00.000,Barcelona,3,Racing Santander,0
2011-03-05,20:00:00.000,Barcelona,1,Real Zaragoza,0
2010-11-29,21:00:00.000,Barcelona,5,Real Madrid,0
2011-04-02,22:00:00.000,Villarreal,0,Barcelona,1
2010-12-04,20:45:00.000,Osasuna,0,Barcelona,3
2010-11-13,22:00:00.000,Barcelona,3,Villarreal,1
2010-12-12,21:00:00.000,Barcelona,5,Real Sociedad,0
2011-03-19,20:00:00.000,Barcelona,2,Getafe,1
2010-11-20,20:00:00.000,Almería,0,Barcelona,8
2011-04-09,20:00:00.000,Barcelona,3,Almería,1
2011-04-16,22:00:00.000,Real Madrid,1,Barcelona,1
2011-09-10,18:00:00.000,Real Sociedad,2,Barcelona,2
2011-10-02,20:00:00.000,Sporting Gijón,0,Barcelona,1
2011-08-29,21:00:00.000,Barcelona,5,Villarreal,0
2011-10-15,20:00:00.000,Barcelona,3,Racing Santander,0
2012-04-07,20:00:00.000,Real Zaragoza,1,Barcelona,4
2012-01-08,21:30:00.000,Espanyol,1,Barcelona,1
2011-11-26,22:00:00.000,Getafe,1,Barcelona,0
2011-10-25,20:00:00.000,Granada,0,Barcelona,1
2011-10-29,20:00:00.000,Barcelona,5,Mallorca,0
2012-02-04,22:00:00.000,Barcelona,2,Real Sociedad,1
2012-05-05,21:00:00.000,Barcelona,4,Espanyol,0
2012-05-12,22:00:00.000,Real Betis,2,Barcelona,2
2012-03-11,18:00:00.000,Racing Santander,0,Barcelona,2
2012-03-31,22:00:00.000,Barcelona,2,Athletic Bilbao,0
2012-04-14,22:00:00.000,Levante,1,Barcelona,2
2012-04-21,20:00:00.000,Barcelona,1,Real Madrid,2
2012-03-20,21:00:00.000,Barcelona,5,Granada,3
2011-09-21,22:00:00.000,Valencia,2,Barcelona,2
2011-11-19,20:00:00.000,Barcelona,4,Real Zaragoza,0
2012-02-19,21:30:00.000,Barcelona,5,Valencia,1
2012-03-24,18:00:00.000,Mallorca,0,Barcelona,2
2012-01-15,21:30:00.000,Barcelona,4,Real Betis,2
2012-03-17,20:00:00.000,Sevilla,0,Barcelona,2
2011-10-22,22:00:00.000,Barcelona,0,Sevilla,0
2011-12-03,20:00:00.000,Barcelona,5,Levante,0
2011-11-29,21:00:00.000,Barcelona,4,Rayo Vallecano,0
2011-09-17,20:00:00.000,Barcelona,8,Osasuna,0
2012-04-29,21:30:00.000,Rayo Vallecano,0,Barcelona,7
2012-01-22,18:00:00.000,Málaga,1,Barcelona,4
2012-01-28,22:00:00.000,Villarreal,0,Barcelona,0
2012-05-02,20:00:00.000,Barcelona,4,Málaga,1
2012-02-26,21:30:00.000,Atlético Madrid,1,Barcelona,2
2011-12-10,22:00:00.000,Real Madrid,1,Barcelona,3
2012-02-11,20:00:00.000,Osasuna,3,Barcelona,2
2012-04-10,21:00:00.000,Barcelona,4,Getafe,0
2011-11-06,20:00:00.000,Athletic Bilbao,2,Barcelona,2
2011-09-24,22:00:00.000,Barcelona,5,Atlético Madrid,0
2013-01-27,19:00:00.000,Barcelona,5,Osasuna,1
2012-12-01,20:00:00.000,Barcelona,5,Athletic Bilbao,1
2012-12-22,18:00:00.000,Real Valladolid,1,Barcelona,3
